@RELATION knee_OA_GLCM_SOFT_ROI

@ATTRIBUTE glcm_contrast NUMERIC
@ATTRIBUTE glcm_dissimilarity NUMERIC
@ATTRIBUTE glcm_homogeneity NUMERIC
@ATTRIBUTE glcm_energy NUMERIC
@ATTRIBUTE glcm_correlation NUMERIC
@ATTRIBUTE glcm_ASM NUMERIC
@ATTRIBUTE class {OA,no_OA}

@DATA
0.2935923676815198,0.5104834917683863,0.15990610614127754,0.1116036448447158,0.5993484855251293,0.03332625307609757,no_OA
0.2526886624909414,0.4360511905424081,0.2667825919832938,0.18683156428315004,0.4271417864450963,0.06690341112010041,no_OA
0.04580914981663716,0.11649401393758357,0.7052122030485506,0.49415284029308715,0.8022069248000113,0.29681181144313207,no_OA
0.1428636105690631,0.29427976013748985,0.4283494048368899,0.2637498501523521,0.6318433167775017,0.11047377960711911,no_OA
0.15608457815949978,0.34772560546094206,0.29808308873860945,0.19916041500147555,0.5484937331180577,0.0732782060882787,no_OA
0.4267581914945408,0.5865839770025991,0.18930712782396042,0.11223614114858152,0.42916406422182907,0.03363366169903072,no_OA
0.4142440813342269,0.5783464816448196,0.1813086347985423,0.11271060297285149,0.3826760863517817,0.033832765351013164,no_OA
0.11738669883888081,0.27937973037325037,0.39810979261027557,0.264335673030917,0.4420832885705884,0.11082254310806153,no_OA
0.15907906774520378,0.3377480984896133,0.3406062822811037,0.20969710425899982,0.5034901837004445,0.07896913585908034,no_OA
0.37237344496634983,0.5718448299684198,0.15059458153235017,0.10566656873543034,0.40025958178594556,0.03108960209261173,no_OA
0.37914650514386994,0.5898352591873754,0.12921587220036346,0.08414581250343117,0.49384269035415335,0.023295052769385774,no_OA
0.8926917327532853,0.937467286433636,0.03290438144998126,0.015496198626813312,0.7202023315871459,0.003529499927005705,no_OA
0.875231586562167,0.9133842590574828,0.047785811147406154,0.022417060162716745,0.5255570796815084,0.005125660194697559,no_OA
0.13075207356005972,0.2907423870310703,0.4002457921635839,0.2732467040187412,0.45924413633330285,0.11649101168561482,no_OA
0.11675846062440304,0.27107454020039845,0.4114506347134116,0.3195897483700162,0.4626572519697305,0.14825462282306234,no_OA
0.15792251497079768,0.3188582348420551,0.3835158419599515,0.2295065985728357,0.7579389202164514,0.0899090476024658,no_OA
0.265591635961726,0.4721254681840163,0.20613821494340812,0.11314769294691202,0.669806292639174,0.03392933351371323,no_OA
0.3292040781196323,0.5243662519876893,0.17042861333271775,0.10697782005847103,0.3584932857232088,0.03156043260545999,no_OA
0.2907176113755477,0.4927935990459434,0.18872921766808148,0.1293357974326386,0.3049815261987159,0.04042343514170599,no_OA
0.1814769505781957,0.37502116120324375,0.2787612444458706,0.17026323169912802,0.457091178969782,0.058757874081283225,no_OA
0.180782532870059,0.37981657215893977,0.25763837971365355,0.17444840800373965,0.48975479586746934,0.06074453343249065,no_OA
0.2348011644370895,0.4257942252518941,0.28922808790409515,0.19698887019037117,0.6579757165366804,0.0720860170609733,no_OA
0.17340371670642737,0.3500076406648176,0.34664750770402986,0.20312546834652992,0.666833909089685,0.07531325789891753,no_OA
0.21211566676124585,0.38653595448840977,0.3089433242542201,0.17744637064031668,0.689520677497327,0.062358203006727335,no_OA
0.30019060611191684,0.4944824136081019,0.19504791183941683,0.1336082921046273,0.36057451025490145,0.04222938350263717,no_OA
0.2565393012499375,0.4474810866656577,0.22807838077318954,0.14619501224162293,0.31699127341810346,0.047696082921617776,no_OA
0.1550888159286451,0.27698788636934635,0.511518051954043,0.4075706939111704,0.6794045429906473,0.2169282700232949,no_OA
0.23360142220905486,0.3819552983375452,0.41176253125757356,0.3212690473926717,0.6245377509724453,0.14919603916924792,no_OA
0.22794086816740278,0.36152670232326184,0.4316347783951927,0.2862507679664421,0.6237223401565657,0.12508631663018663,no_OA
0.19446386043941824,0.34549848612182305,0.4235030488926801,0.30687631855112774,0.6593237317025277,0.1389634509752021,no_OA
0.24170625693194123,0.4559592047753997,0.19362158172085941,0.1271276579000846,0.41804176371799145,0.03950682214992668,no_OA
0.2001850202615369,0.41190679215330855,0.21084506668481118,0.18492633962668845,0.3427144550213359,0.06598724260132853,no_OA
0.15235388520211257,0.3059224324006481,0.43022773846869833,0.2834604966315263,0.6807777326009204,0.12325195546239934,no_OA
0.06568234702983286,0.18320408593454052,0.5348759103916972,0.40935913807110647,0.30811289236445255,0.218642263500483,no_OA
0.17861310478863004,0.3545720582548632,0.3217445697655228,0.19435438933506852,0.6475303358704942,0.07077296038402524,no_OA
