@RELATION knee_OA_MULTICLASS_SOFT_ROI

@ATTRIBUTE glcm_d2_contrast NUMERIC
@ATTRIBUTE glcm_d2_dissimilarity NUMERIC
@ATTRIBUTE glcm_d2_homogeneity NUMERIC
@ATTRIBUTE glcm_d2_energy NUMERIC
@ATTRIBUTE glcm_d2_correlation NUMERIC
@ATTRIBUTE glcm_d2_ASM NUMERIC
@ATTRIBUTE wl_approx_mean NUMERIC
@ATTRIBUTE wl_approx_std NUMERIC
@ATTRIBUTE wl_horiz_energy NUMERIC
@ATTRIBUTE wl_vert_energy NUMERIC
@ATTRIBUTE wl_diag_energy NUMERIC
@ATTRIBUTE class {OA,no_OA}

@DATA
0.21381360088386425,0.37607719908569603,0.5135176601681588,0.1715323890154684,0.8595613863064315,0.0656366264492341,0.541530624322299,0.505984475348553,0.1472057431790762,0.03860026543591336,0.2792635667063463,no_OA
0.2419140789196414,0.43379206754354827,0.43974078899080604,0.21296286659838382,0.7187236090149449,0.08809677539939631,0.7385160996303406,0.4116335093253051,0.2787011342807113,0.12580783807639248,0.3991938595212999,no_OA
0.03686184468633863,0.1067766899651405,0.8418607685392123,0.5403861285707889,0.9265866698969845,0.3551818386293119,0.902927608189261,0.29210821303109386,0.02304243648134698,0.009600350650286978,0.1627127960770276,no_OA
0.0980358385750852,0.22296508612279395,0.6914968145719147,0.3306630184151554,0.8915703779381126,0.16565480048645043,0.8092630122900912,0.356292546500273,0.06476965411663389,0.02614956944013261,0.21068285731000408,no_OA
0.1355042083858778,0.3140595736586742,0.5622955773890317,0.25837484498989516,0.7772754776020374,0.11563432869316526,0.5689954143508367,0.3089766434442066,0.12315061553286694,0.05874376204887687,0.30814231031271205,no_OA
0.4440164630442537,0.5947985388174474,0.3100605521073152,0.12683280812108233,0.6723660489993675,0.04435706415413553,0.6169203751527268,0.5072224333445321,0.44569002544752595,0.21092470762884605,0.44468921975007253,no_OA
0.4010510677659379,0.5680569259164375,0.32653557062260097,0.13725638112829547,0.6667059982971368,0.04903796010460241,0.6163430242424603,0.45337388047167876,0.35704260431576673,0.16593277761712838,0.44886744462835587,no_OA
0.10885169974951052,0.2659696801043486,0.6216523824014637,0.31271275173577595,0.7243788807770963,0.1525977139812302,0.42803765070758043,0.2550206405115897,0.12280423976402632,0.053461819601464004,0.39324252068722826,no_OA
0.1273811121481428,0.2875312066855229,0.6003993502722362,0.26540415964108877,0.7935837661776395,0.12010491586268102,0.46363283006061146,0.31724652608156173,0.12654986261585446,0.06402647860142172,0.37099458999093865,no_OA
0.36182326544565024,0.566575349794217,0.30873062728481004,0.13436508920928442,0.7241203531787228,0.04771624071393268,0.612980811942911,0.5361662182302946,0.3847008039545445,0.19785570661443003,0.44128534945529235,no_OA
0.36511951198825854,0.5647974192017295,0.31071269904812615,0.11016616828042591,0.74457422014064,0.03713898676725469,0.5193276905598811,0.5198975080185426,0.3893695637987376,0.19191612767323335,0.46853317337128314,no_OA
0.597412009321032,0.7199128124201877,0.21042679816261423,0.04301230009759857,0.9121792069913157,0.012317098310260274,0.4064312934624061,0.9790766916640934,0.5873622148852349,0.22520337104400645,0.5278323238733704,no_OA
0.535272672703395,0.6887143931402242,0.234069788042905,0.05312245023469536,0.8758317609958972,0.015630518241177956,0.5467294545938477,0.8545150302047058,0.3374531669643816,0.2129928763402097,0.47757288340071863,no_OA
0.12588859609613562,0.2656022076460439,0.6373442565132419,0.33318355581885123,0.7058691380914279,0.16765186438574733,0.5837632954013778,0.25738502212654585,0.15230259271207264,0.051785311073047714,0.3437351286593992,no_OA
0.12771455817245225,0.2637412037882919,0.6427054332213629,0.3749460696026074,0.647681152197948,0.20035312808521305,0.6073037436415187,0.22382324947447718,0.1191136552131031,0.04868550311411322,0.3220316934749278,no_OA
0.11355798255863862,0.2392991499142322,0.675646471689741,0.2943887512733535,0.9238485910320424,0.13949465522048501,0.7755291646370741,0.47906995676720626,0.06320839953727687,0.017082635970443356,0.22245962104939793,no_OA
0.18304880785950867,0.3333808479720487,0.5687120235353358,0.1789583381662907,0.8953108613584346,0.06943098419607813,0.667393473015899,0.49869489664274375,0.11448330503510093,0.025824370368340482,0.25009821180006814,no_OA
0.32402460771879754,0.5294146514224979,0.3394799451229811,0.13808008116203097,0.6455526103663551,0.04944014005576402,0.606352509249551,0.4033760225700222,0.3076296870784337,0.16088211367142294,0.4372330075884952,no_OA
0.28816933285627294,0.5029458146304107,0.36021645572932814,0.16018919726876985,0.6166184676887481,0.0599926913932635,0.625395105555075,0.3552350809314794,0.25126953135240526,0.15676438131663226,0.49429177922962925,no_OA
0.1921276145959736,0.3715135654293531,0.5065691874114073,0.2168679485298295,0.6831066300340236,0.09031092108504168,0.5089330613572209,0.3190058489423856,0.22618451512993595,0.08920995699282402,0.3826012902866544,no_OA
0.20219412500347383,0.37928946014991327,0.5000381793891442,0.21904204868505134,0.6797664612178727,0.09158047198394381,0.5251247157251939,0.32133599383912526,0.23531119737719555,0.09801291855109928,0.4244562676792633,no_OA
0.15283329078133562,0.32115967735414974,0.5651577344231296,0.232639379147822,0.9082925502980981,0.0995175531819118,0.7182557750075964,0.48937074013501586,0.10759520574700765,0.05125728733629035,0.24294243513918728,no_OA
0.11358653784265581,0.2659578012609347,0.6276062865247638,0.2541146798096507,0.9043838977573566,0.11283138200060058,0.7685453824151776,0.40214461956280384,0.061765034372781455,0.027141665228711316,0.24493104080448708,no_OA
0.17729469072263038,0.317639279988398,0.5901373402343435,0.23254471010332922,0.8711268721482162,0.09954816998586896,0.7179768793114705,0.4834607419228267,0.11572349168654558,0.0320148606237696,0.23716504709999314,no_OA
0.3647288587231496,0.5500158003757178,0.3285805842304581,0.1551941561628058,0.580862052525358,0.05747091553166762,0.5697740350671161,0.41584404721154616,0.4205950172706141,0.2223054101845517,0.4658353706924026,no_OA
0.28466343754206547,0.49718467846624337,0.3620911840315697,0.16720411651091693,0.5837559648434176,0.06344093782613869,0.5974730380331188,0.33418601129336106,0.3263959385718253,0.18506795190226094,0.4281586527299363,no_OA
0.08567342206058001,0.1944335410508178,0.7316799147239612,0.44897747294745965,0.9463719730624369,0.264471986213381,0.8490543013525313,0.47858692209191284,0.025529198494269895,0.011645652144341722,0.16197851086403497,no_OA
0.12832438651274786,0.2658747919354941,0.6440315195889916,0.36429499673858307,0.9336943034873579,0.19158367386089759,0.8046398966529074,0.4959226232697545,0.04698156217984269,0.01953375790831014,0.17075226111167852,no_OA
0.14772071793658348,0.27336611695681634,0.6488402664653405,0.3364325970575294,0.9143545929898913,0.1699147769800433,0.8091602309668606,0.5466707665978141,0.07996627785382698,0.023706356680737145,0.16202084774440478,no_OA
0.12553939634892308,0.26107408190535475,0.6500706534442999,0.3457827525665022,0.9166985967549603,0.1770907308820582,0.817757736275724,0.45462371300003473,0.0543170558601198,0.022398169735159124,0.22115510466921662,no_OA
0.24931943540015633,0.4956201790066219,0.34287712899030054,0.15671291941750387,0.6550724191834085,0.05826481819563916,0.4810694359206849,0.3463388052998199,0.2523490161244428,0.21400274753886075,0.4555896986607471,no_OA
0.21931358638875764,0.43370913244709963,0.42243897951344445,0.21800189040471352,0.6045270217911165,0.09099896812975114,0.5334877252491292,0.30090136456340133,0.254268179666659,0.14034275582693845,0.42819766454133706,no_OA
0.10668288269146382,0.2296623020468149,0.688158155285892,0.33903162266850123,0.8967081485575443,0.17192210210603245,0.8206158186174433,0.3674737195681419,0.07822222573583391,0.02278082558848738,0.20980515348541168,no_OA
0.0862290073321272,0.22201671815766397,0.6803892117733656,0.4421587518356295,0.50721892408614,0.2584179911114656,0.363722234042496,0.14560960075399723,0.07863591683595945,0.06204641950099992,0.3919151636143066,no_OA
0.16157880546111253,0.3042801965739196,0.6012258366582279,0.2604884862425188,0.8523882179141635,0.1168916986916011,0.742177284909644,0.45965380325958743,0.11029071012640543,0.04569880688192413,0.27161191685428027,no_OA
0.21864981818960771,0.4297853644539801,0.42817682469909424,0.2075074078886156,0.6100254407068411,0.08494644084289918,0.5858618264371673,0.30663814194798905,0.3191132350510662,0.1821449275701794,0.42151964944432635,no_OA
0.1935472511965487,0.341915321091101,0.5649745343958752,0.23666013121360396,0.8781224884940828,0.10202676753656006,0.7161454853616778,0.5491561166167414,0.1127684795219566,0.03436963232148083,0.26331862667040723,no_OA
0.2606437167595162,0.4588744052619801,0.4200508743120577,0.13792634793204034,0.8697609506846895,0.049349669028389866,0.6015722301161361,0.573106171798496,0.10469143214316066,0.06289997715560583,0.288300390738024,no_OA
0.16860632776080187,0.3342340720090279,0.555526529359347,0.21794390012602544,0.9039798503668948,0.09088330671358932,0.621614305020221,0.5341018006037355,0.09071954099650838,0.03484437604292546,0.27063219565903845,no_OA
0.14468164142536843,0.30317790193407,0.5899608819018449,0.24304803395586,0.8990087962452868,0.10590308239292484,0.6931217070731788,0.471772815089643,0.0882741771077163,0.03511444922207427,0.2491163040004865,no_OA
0.2814434118633024,0.503562008594845,0.35597392718523646,0.1408343613233234,0.6824063284849782,0.05069061441062018,0.5822214659350882,0.3948420925965854,0.35918062023865344,0.17144520370836255,0.4679556361241953,no_OA
0.23501035249443547,0.46385263135229093,0.38555794499206275,0.168700139225675,0.6415063882626741,0.06420198917140005,0.606147362676229,0.3308075345237406,0.3029396246411942,0.13723803027598389,0.4295153352077676,no_OA
0.16499556671399096,0.3499874078600764,0.5224186538789062,0.20508658604238827,0.7592394751543177,0.08358517366648138,0.5015581672188549,0.3322515688699223,0.2053808566831219,0.09453280089038657,0.40373632192884973,no_OA
0.1640651409671004,0.3555230877948027,0.5111774217090643,0.20809590947381867,0.747733504206491,0.0853390758514811,0.5195681044985461,0.317856116269731,0.27394748971235944,0.09598026867065074,0.41768802581778025,no_OA
0.3916861830848937,0.5904483958241519,0.28232174558546586,0.12990394190863264,0.5994466955987701,0.04570314124278647,0.5285232698211533,0.43880253625514226,0.576341244356962,0.23728556682723612,0.6007973864482314,no_OA
0.3775644303398794,0.5721347146566615,0.30096675011578466,0.12375251734616083,0.634301436230289,0.042952885076193346,0.5122785657092084,0.4352777114962925,0.5540821044510068,0.22231826205881353,0.5458368039726826,no_OA
0.07509231799656417,0.19388824532720958,0.720527126425279,0.45153695636047836,0.6239273799653349,0.2670439909740083,0.5594791979228284,0.15372466020745612,0.08460771462856258,0.0419191540830392,0.3441075074492574,no_OA
0.2214698066508134,0.3970222289069466,0.4875632065346527,0.1958815687155095,0.7841819425376979,0.07846059540244038,0.5938632170451539,0.43709377266045163,0.21147738921264503,0.10380998848067058,0.33760761337402406,no_OA
0.19522698498533386,0.369759222017496,0.5144834785052923,0.2374554573031989,0.7553024835990314,0.10251212676873683,0.6204719752265844,0.37474249636443163,0.2087451078079028,0.10404733492934498,0.3489771701849305,no_OA
0.14379880506205295,0.32795179614583525,0.5452358222849849,0.19731626979561767,0.8906839480281681,0.07926851798142134,0.6695703120233514,0.4737320554378573,0.071689534090387,0.06562373370875574,0.2723174008499956,no_OA
0.25200286600056226,0.43432532567659343,0.44722531113186137,0.1414672693148039,0.8567504604988736,0.050903611746400394,0.5702856069199131,0.5306061025813444,0.20827605500732427,0.1000671981372438,0.2993505480603626,no_OA
0.29498394825622615,0.48639788903096903,0.3877346077008865,0.18103542047916815,0.6111757264518181,0.07059970480804273,0.7220199587378762,0.35400995541101377,0.46915434874845136,0.17438018588449503,0.49201338594693916,no_OA
0.3099948549592819,0.4967697516343442,0.37947026799494576,0.1776053154325588,0.6144748913066227,0.06876236840663116,0.6830658281169679,0.37241033076373814,0.3711255759014719,0.18879681125358772,0.4896686897474795,no_OA
0.39243569805769707,0.5842607575151008,0.2932603910120737,0.11285610989969669,0.707545231140994,0.038258953891250336,0.5900550524549109,0.5359906078722159,0.4173513853304661,0.21230318283985905,0.5173822813729756,no_OA
0.36898097189789436,0.5804438792693146,0.2861387496146466,0.11167889810129833,0.6646033380591616,0.03776917253826291,0.552138291407114,0.45855245742904455,0.43148073030560646,0.20525966246788943,0.5159457206726235,no_OA
0.26121833179905113,0.4356530530277877,0.4516154886379693,0.21195810340607052,0.715750047914792,0.08747906140385875,0.7576876174293463,0.41491084285957375,0.309797339258111,0.11908802230546156,0.46570557070106994,no_OA
0.12635222371343569,0.2782855110595449,0.6168655365853599,0.2980440325533349,0.6560339233632959,0.14219609576884748,0.3660805462831174,0.24207620544409797,0.13106236059110388,0.07614651400234679,0.40204934232778583,no_OA
0.12391337540535068,0.27864108556598255,0.6125630985148953,0.27022842233065597,0.7371177110354754,0.12328401334039643,0.40146761722173946,0.25749186748660724,0.15725734979456613,0.06607103695010133,0.41737072795707936,no_OA
0.36397638390986553,0.554247743622218,0.3252303254438864,0.16015590425565723,0.6108321219290707,0.05997247105053121,0.7259181256743528,0.4399773342734146,0.3228239219243581,0.21418693458271365,0.48691783401339367,no_OA
0.2776487177879379,0.47168774831384297,0.40490929722270597,0.21073221334158176,0.6454785000834296,0.08677557114313716,0.7736355175048344,0.3921722918486833,0.2452592019661796,0.19147798963662707,0.4509347472753467,no_OA
0.25377151215305266,0.4230288799877153,0.4621648917645156,0.24812515867862467,0.5581605627111683,0.10913827735048956,0.5976824320431255,0.31151981688973746,0.42626896153542276,0.12396522474111074,0.4073013094129599,no_OA
